knee_angle_left,knee_angle_right,knee_angle_avg,hip_angle_left,hip_angle_right,ankle_angle_left,ankle_angle_right,back_angle,hip_hinge_angle,frontal_weight,foot_asymmetry,knee_cave_pct_left,knee_cave_pct_right,knee_over_toe_left,knee_over_toe_right,shoulder_width,hip_width,elbow_width,elbow_flare_pct,elbow_flare_angle_lateral,arm_angle_left,arm_angle_right,wrist_dev_left,wrist_dev_right,exercise_type
100.08,109.88,104.97999999999999,54.63,130.99,89.13,105.2,2.02,130.99,0.15,0.016233902820534274,3.1512266809327394,8.993003621103584,-0.009941009829924408,0.04935009208004082,0.014885195637673876,0.353852689932873,0.011232860948107715,-24.536692553252294,8.282858048205899,133.29,88.8,0.08207827996110706,0.1305881939872895,SQUAT
81.58,81.77,81.675,14.19,95.05,146.65,120.26,62.75,54.62,0.962,0.007962163996435012,3.2266605038159146,3.0169315771347627,0.06060652366906183,0.07983348275049662,0.15529014991906243,0.6141597356370738,0.1573920631513639,1.3535393155309519,11.220081003670975,96.24,137.72,0.10561274754997485,0.0633720795355679,SQUAT
84.82,83.45,84.13499999999999,32.94,29.38,93.1,108.71,59.5,31.16,0.978,0.029735215335634058,3.9945168937892572,-1.2223920615019201,-0.03142892831187388,0.11920138599137631,0.19811631421786735,0.18302386863431774,0.16620499334727024,-16.10736652182234,10.865094085765698,128.02,165.89,0.11247780351286618,0.052259342590800006,SQUAT
77.76,79.0,78.38,103.69,102.26,156.5,179.52,22.71,103.69,0.0,0.0029846949933430844,-1.2522855458960536,1.707123516372877,-0.024446477555342738,0.019300676880325107,0.012940145414595983,0.03974352872068809,0.0051759280327018375,-60.00100565436003,8.123701828474465,106.77,106.09,0.09274387119077565,0.10218361450170388,SQUAT
88.0,87.6,87.8,127.06,108.13,103.56,101.11,34.76,127.06,0.245,0.01185703549828332,-1.4793919489470009,0.7283450598393415,0.1277523375256885,-0.04530365020851057,0.0730576536764379,0.15124495722169795,0.13874101849704934,89.90620628403128,2.0504022267932602,48.75,123.77,0.07080108227241755,0.0842772974356839,SQUAT
49.79,60.15,54.97,15.28,66.95,121.81,97.3,39.7,15.28,0.233,0.0012785941272932533,1.9989178763782645,10.159530636445801,0.07030362819939717,0.03589233553126131,0.056127695424926904,0.4129308606775446,0.06935568144520665,23.56766284475856,16.093569059663942,59.17,155.77,0.10735650473025027,0.06569631838759094,SQUAT
73.58,79.39,76.485,69.0,49.59,74.78,104.1,1.52,59.3,0.931,0.005346943018227801,12.395557705565253,-0.15368959551582684,0.039507640015460144,0.08804432789119199,0.14718885699804884,0.5089569849167257,0.16351234909842444,11.090168395418669,16.041053669155282,86.17,118.05,0.11280487878804962,0.11828357839443304,SQUAT
166.82,150.1,158.45999999999998,174.61,143.52,171.2,58.62,23.05,159.06,0.79,0.0061660513632404435,8.217795213463575,12.90787922260076,0.08507156582320768,0.03612532764383358,0.1266298827007648,0.03114686277468448,0.1698862660891438,34.15969632586396,7.424001309874367,94.64,149.1,0.15957172004139736,0.11532932920671102,SQUAT
106.76,108.68,107.72,24.72,161.04,133.22,159.0,78.34,92.88,0.98,0.008758995294870675,-1.228245513639309,5.6382650341653235,-0.03279320938928659,0.0531767508401495,0.19365590868104343,0.5181639738267749,0.14975668353977456,-22.668673236080856,8.757833308435812,134.9,62.78,0.09467891073207091,0.14444006952561284,SQUAT
171.57,166.43,169.0,177.53,176.14,69.52,84.86,3.36,176.83,0.931,0.02058224654293339,-0.3491621296374592,3.377469637688646,0.023700737994128862,-0.01344808772954531,0.17237855716028383,0.1870004521920396,0.1733644078049713,0.5719102543425982,13.728046716236133,117.28,57.6,0.08021529401342331,0.0734107740180664,SQUAT
